from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005004136006,9022005004136003,1,,55700000063061062,55700000063144203
9022005000993004,9022005000993002,1,,55700000063061062,55700000064823137
9022005000126015,9022005000126005,1,,55700000063050297,55700000063111538
9022005000126015,9022005000126005,1,,55700000063050297,55700000063112227
9022005000126015,9022005000126003,1,,55700000063050297,55700000063119381
9022005004136006,9022005004136004,1,,55700000063050297,55700000063139934
9022005004136006,9022005004136003,1,,55700000063055844,55700000063144814
9022005000993004,9022005000993002,1,,55700000063056360,55700000064822897
9022005000993004,9022005000993002,1,,55700000063057397,55700000064823589
9022005000124003,9022005000124001,1,,55700000063058455,55700000063110669
9022005000126013,9022005000126002,1,,55700000063058455,55700000063233645
9022005000126013,9022005000126002,1,,55700000063058455,55700000063233706
9022005000126013,9022005000126002,1,,55700000063058455,55700000063233889
9022005000050024,9022005000050020,1,,55700000063058455,55700000065074344
9022005000050024,9022005000050020,1,,55700000063058455,55700000065074390
9022005000993004,9022005000993002,1,,55700000063059907,55700000064823473
9022005004136006,9022005004136004,1,,55700000063060251,55700000063139964
9022005004136006,9022005004136003,1,,55700000063060251,55700000063144938
9022005000124003,9022005000124002,1,,55700000063060766,55700000063124973
9022005000124003,9022005000124002,1,,55700000063060874,55700000063125031
9022005000124003,9022005000124002,1,,55700000063061773,55700000063124625
9022005000126015,9022005000126002,1,,55700000063049953,55700000063233706
9022005000050024,9022005000050020,1,,55700000063049953,55700000065074436
9022005000050024,9022005000050020,1,,55700000063049953,55700000065074482
9022005000126015,9022005000126005,1,,55700000063050469,55700000063111715
9022005004136006,9022005004136004,1,,55700000063050813,55700000063140086
9022005000126015,9022005000126005,1,,55700000063050985,55700000063111194
9022005004136006,9022005004136004,1,,55700000063050985,55700000063140312
9022005000993004,9022005000993002,1,,55700000063050985,55700000064823249
9022005000126015,9022005000126005,1,,55700000063051157,55700000063112497
9022005004136006,9022005004136003,1,,55700000063051157,55700000063144380
9022005000126015,9022005000126005,1,,55700000063052058,55700000063111114
9022005004136006,9022005004136002,1,,55700000063052058,55700000063152358
9022005000126017,9022005000126005,1,,55700000063052404,55700000063113119
9022005004136006,9022005004136004,1,,55700000063052404,55700000063140116
9022005000993004,9022005000993002,1,,55700000063052404,55700000063175086
9022005000126017,9022005000126002,1,,55700000063052404,55700000063233273
9022005000126017,9022005000126002,1,,55700000063052404,55700000063233336
9022005004136006,9022005004136004,1,,55700000063052920,55700000063140054
9022005004136006,9022005004136002,1,,55700000063052920,55700000063152583
9022005000993004,9022005000993002,1,,55700000063052920,55700000063175051
9022005000050024,9022005000050020,1,,55700000063052920,55700000065074620
9022005000126017,9022005000126005,1,,55700000063053952,55700000063111626
9022005004137006,9022005004137001,1,,55700000063053952,55700000063121582
9022005004136006,9022005004136003,1,,55700000063053952,55700000063144631
9022005004136006,9022005004136002,1,,55700000063053952,55700000063152064
9022005000050024,9022005000050020,1,,55700000063053952,55700000065074712
9022005000126017,9022005000126001,1,,55700000063054640,55700000063238651
9022005004136006,9022005004136004,1,,55700000063054812,55700000063140024
9022005004136006,9022005004136004,1,,55700000063054812,55700000063140368
9022005004136006,9022005004136004,1,,55700000063054812,55700000063140396
9022005000993004,9022005000993002,1,,55700000063054812,55700000064823701
9022005000993004,9022005000993002,1,,55700000063054984,55700000063175558
9022005000126017,9022005000126005,1,,55700000063055156,55700000063111274
9022005000126017,9022005000126005,1,,55700000063055156,55700000063112585
9022005004136006,9022005004136003,1,,55700000063055156,55700000063144509
9022005004136006,9022005004136002,1,,55700000063055156,55700000063152735
9022005000993004,9022005000993002,1,,55700000063055156,55700000064823757
9022005000993004,9022005000993002,1,,55700000063055328,55700000063175341
9022005000126017,9022005000126005,1,,55700000063057742,55700000063111194
9022005004136006,9022005004136004,1,,55700000063057742,55700000063139994
9022005000126017,9022005000126005,1,,55700000063058087,55700000063112403
9022005000993004,9022005000993002,1,,55700000063058087,55700000064823645
9022005000126013,9022005000126005,1,,55700000063058920,55700000063112833
9022005004137006,9022005004137001,1,,55700000063058920,55700000063121630
9022005004136006,9022005004136004,1,,55700000063058920,55700000063140172
9022005000126013,9022005000126002,1,,55700000063058920,55700000063233767
9022005000126013,9022005000126001,1,,55700000063058920,55700000063238479
9022005000050024,9022005000050020,1,,55700000063058920,55700000065074574
9022005000124003,9022005000124002,1,,55700000063060696,55700000063124393
9022005000124003,9022005000124002,1,,55700000063060909,55700000063125089
9022005000124003,9022005000124002,1,,55700000063060944,55700000063124683
9022005000126015,9022005000126005,1,,55700000063050125,55700000063111034
9022005000126015,9022005000126005,1,,55700000063050125,55700000063111450
9022005004136006,9022005004136003,1,,55700000063050125,55700000063144877
9022005000993004,9022005000993002,1,,55700000063050125,55700000063175121
9022005000050024,9022005000050020,1,,55700000063050125,55700000065074666
9022005000126015,9022005000126005,1,,55700000063051335,55700000063111274
9022005004136006,9022005004136003,1,,55700000063051335,55700000063144999
9022005000993004,9022005000993002,1,,55700000063051335,55700000064823757
9022005000993004,9022005000993002,1,,55700000063051507,55700000064823827
9022005004136006,9022005004136004,1,,55700000063052748,55700000063140144
9022005000993004,9022005000993002,1,,55700000063052748,55700000063175193
9022005000126017,9022005000126002,1,,55700000063052748,55700000063233584
9022005000126017,9022005000126002,1,,55700000063052748,55700000063233645
